sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-R-1,logZ-err-tensor-R-1,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-vector-R-1,logZ-err-vector-R-1,logZ-vector-N-0,logZ-err-vector-N-0,logZ-scalar-N-0,logZ-err-scalar-N-0,logZ-scalar-P-1,logZ-err-scalar-P-1
53,966428422.8576909,5.364758015,-0.408536911,8.900135204,14.775439551,13.551168725,21.93536401312167,88,-18.234254919434857,0.09851759408387893,-9.17746051501387,0.04641610569385095,-18.13984182574059,0.1097853363038034,-8.543996040820904,0.031817409831008364,-19.507998797409826,0.10750463546765517,,
54,966429320.0472957,4.422707081,1.238306999,12.973996687,10.285023225,10.936234680999998,19.842064453352215,60,-9.315688592027398,0.05289937405713661,-6.191680617016334,0.021952949888423688,-12.824482157773687,0.041858944362855775,-6.028111952850718,0.017708711218062695,-16.946668760163526,0.05896177165379285,-8.635635659970644,0.03595845819320917
55,966430110.974127,5.577914237999999,0.062570147,8.023542945,12.095977038,14.07250644,20.216956729387437,67,-13.52572571389409,0.13983515687662254,-7.037364732162798,0.01965028103855762,-14.037864063967666,0.06808966846318848,-7.319739309403776,0.022275505740379523,-13.771778503800007,0.09430309965014072,-8.805900776330553,0.03064425223570168
56,966431019.6399208,3.894028902,0.08627588300000001,17.805771675,17.603318492,12.653890116,28.054291328437152,87,-13.024673196693216,0.14201093271938384,-7.151794500062959,0.023436742990051985,-27.296097592056263,0.046565214192467244,-8.137290919210109,0.0379826479291111,-24.49623237986633,0.08006068284440714,-11.017838473956441,0.036041442876411194
57,966431803.0623486,1.2784600259999999,0.8646892909999999,21.191565699,19.477562174000003,4.413441221,29.119346634639506,89,-8.158279584505555,0.02461624362277564,-6.561645868986278,0.02123275496277274,-8.544128052920085,0.03248121991927234,-6.668030898142171,0.021388625889911455,-8.071313586998537,0.04941900043206334,-5.009018217664364,0.011756917155305352
58,966432638.7037562,5.7467060089999995,0.882754922,21.579119034,8.633498835,7.764413553,24.504730119703368,82,-8.655768419418756,0.053295353423032515,-7.047602573354893,0.024888578713834774,-15.206360119571741,0.07529627126265892,-7.148596287370587,0.019672108909345568,-10.930655507880081,0.02835632076802252,-6.983576965753245,0.018737448273088944
59,966433590.7686573,5.017643929,1.058632016,13.474486963,10.978957867,9.11561295,19.626352544872567,76,-11.762262901210496,0.06743874123582418,-7.624603699413882,0.026821347682484644,-16.682972941748382,0.044612750804468325,-7.366831994742119,0.02516538818801587,-11.739614749426135,0.10901258022904009,-9.187304479400813,0.028037309279806317
60,966434391.8076493,2.200952053,0.330538899,11.402645472,18.362502832,8.416441406,23.19565304008407,73,-10.963826636660807,0.025674228713483002,-6.5914463307735955,0.022774852425002996,-12.626682116043995,0.10334382274388304,-6.4151724340633445,0.02115891462543533,-10.174738337957232,0.06975258159867935,-7.538723549521855,0.02588623180146002
61,966435192.5465316,4.91078186,-0.210392594,12.823881874000001,16.966168805,5.6307569729999996,22.000187597542183,71,-7.665141517134113,0.03718327727243035,-5.988259045168514,0.014755336412513654,-7.82583087080502,0.03902205638795479,-5.9908679663902005,0.019818213395822324,-7.2765495307640675,0.03444126173186018,-4.867276202042735,0.011500574196128698
62,966435923.3286929,2.550282955,-0.38860610100000004,7.480374573,16.651400047,8.374589526,20.083796379335393,66,-15.682229462692613,0.05762153939460949,-8.682662433994295,0.04919071489918373,-19.76557468100079,0.05944060840725075,-8.386702378405102,0.021581926876286225,-15.766677775242043,0.06225877281803712,-7.423477269746765,0.032556853333631806
